"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Migrationshintergrund Kinder","deutsch",2021,"13 Bogenhausen",46.9,5781,12339,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"14 Berg am Laim",66.3,3971,5985,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"15 Trudering - Riem",50.4,6401,12708,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"16 Ramersdorf - Perlach",67.9,10496,15467,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"17 Obergiesing - Fasangarten",55.3,3413,6171,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"18 Untergiesing - Harlaching",41.4,2566,6195,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",50.8,6239,12273,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"20 Hadern",54.7,3438,6290,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"21 Pasing - Obermenzing",43.8,4977,11376,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"22 Aubing - Lochhausen - Langwied",55.1,4338,7872,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"23 Allach - Untermenzing",41.7,2246,5389,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"24 Feldmoching - Hasenbergl",60.2,5444,9041,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2021,"25 Laim",54.1,3145,5810,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"Stadt München",52.8,103093,195333,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"01 Altstadt - Lehel",42.2,913,2164,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"02 Ludwigsvorstadt - Isarvorstadt",40.3,2068,5133,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"03 Maxvorstadt",46.6,2036,4373,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"04 Schwabing - West",45.4,3505,7720,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"05 Au - Haidhausen",43.9,3409,7763,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"06 Sendling",47.6,2128,4468,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"07 Sendling - Westpark",57.2,4161,7274,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"08 Schwanthalerhöhe",56.4,1977,3505,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"09 Neuhausen - Nymphenburg",49.9,6221,12478,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"10 Moosach",61.7,4116,6674,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"11 Milbertshofen - Am Hart",73.6,6444,8758,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"12 Schwabing - Freimann",52.3,4911,9395,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"13 Bogenhausen",46.2,5628,12182,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"14 Berg am Laim",65.3,3893,5959,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"15 Trudering - Riem",50.1,6392,12749,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"16 Ramersdorf - Perlach",67.9,10498,15469,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"17 Obergiesing - Fasangarten",55.3,3428,6198,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"18 Untergiesing - Harlaching",40.5,2482,6127,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",50.6,6142,12134,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"20 Hadern",53.6,3331,6210,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"21 Pasing - Obermenzing",42.6,4749,11138,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"22 Aubing - Lochhausen - Langwied",54.3,4052,7468,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"23 Allach - Untermenzing",40.5,2081,5140,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"24 Feldmoching - Hasenbergl",59.9,5361,8944,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2020,"25 Laim",53.6,3167,5910,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"Stadt München",52.2,101084,193573,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"01 Altstadt - Lehel",42.8,903,2112,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"02 Ludwigsvorstadt - Isarvorstadt",40.3,2099,5213,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"03 Maxvorstadt",46.4,2027,4371,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"04 Schwabing - West",44.9,3493,7774,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"05 Au - Haidhausen",43,3292,7658,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"06 Sendling",47,2112,4490,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"07 Sendling - Westpark",56.8,4047,7131,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"08 Schwanthalerhöhe",55.9,1998,3572,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"09 Neuhausen - Nymphenburg",49.2,6096,12388,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"10 Moosach",61,4051,6637,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"11 Milbertshofen - Am Hart",73.7,6429,8719,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"12 Schwabing - Freimann",51.6,4856,9407,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"13 Bogenhausen",45.3,5287,11666,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch",2019,"14 Berg am Laim",64.8,3806,5875,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch) (bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch) (bis 17 Jahre)",NA,NA,NA
